stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0
21Day,0,4.02,2.68,2.68,1.34,2.68,2.68,1.34,1.34,1.34,2.68
