stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,9.63,2.14,0,0,0,1.07
21Day,0,0,0,1.34,1.34,0,0,0,0,2.68,0,1.34,0,0,6.69,1.34,2.68,1.34,1.34,1.34
3Month,0,0,0.64,0,0,0,0,0,0.32,0,0.32,0,0.32,0.32,0,0,0,0,0,0
22Month,0,0.55,0,0,0,0,1.09,2.73,0,0,0,0,0,0,0,0,0,0,0,0
