stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,4.09,4.09,0,0,0,8.17,0,0,0,4.09,12.26,8.17,20.43,0,0,0
72hpf,0,0,0,0,0,0,0,3.21,1.07,0,2.14,1.07,4.28,2.14,1.07,0
21Day,1.34,1.34,1.34,1.34,0,0,0,0,0,1.34,4.02,1.34,0,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,1.09,0,0,0.55,0,1.64,0,0,0.55,2.19,0.55,0,0,0,0
