stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,4.09,4.09,0,0,0,4.09,0,0,4.09,73.56,0,0
72hpf,0,0,0,0,0,0,1.07,0,4.28,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0
3Month,0,0.96,0.32,0.64,0.32,0,0,0.32,0,0,0,0.32
22Month,0,0,0,1.09,0,0,0.55,0,0,0,0,0
