stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,151.2,0,0,0,0,0,0,0,24.52,0,0,0
72hpf,1.07,0,2.14,1.07,1.07,0,0,0,0,1.07,0,0,0,1.07,0,0,16.05,0,0,0,17.12,17.12,4.28,0,2.14,0,0,1.07,0,17.12,0,0,0
21Day,0,0,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,5.35,0,0,0,24.09,10.71,0,0,10.71,0,1.34,1.34,0,5.35,0,0,0
3Month,0.64,1.28,6.08,0,0,0.64,0.64,0.96,0.64,5.44,1.28,1.6,1.6,1.28,0.96,1.6,6.4,0.64,0,1.92,1.92,0.96,7.04,0.96,0,1.28,38.71,3.84,0,1.92,12.8,7.36,3.2
22Month,0,1.64,6.01,0,0,0,1.64,1.09,1.64,19.13,0.55,0,5.47,0.55,0.55,1.64,2.73,0,0.55,1.09,1.09,4.37,10.39,0.55,0,0.55,21.87,30.61,2.19,0.55,2.73,1.09,0
