stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,12.26,0,20.43,4.09,0,0,0,4.09,0,4.09,40.86,0,12.26,388.21,20.43,0,0,0,0,4.09,0
72hpf,5.35,1.07,4.28,0,0,0,0,2.14,4.28,0,8.56,0,20.33,36.37,5.35,0,0,4.28,0,0,0
21Day,5.35,0,4.02,4.02,0,0,1.34,0,2.68,0,10.71,1.34,9.37,21.42,9.37,1.34,0,2.68,1.34,0,0
3Month,0,0,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,1.64,0.55,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.55
