stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,4.09,0,0,40.86,0,0,0,0,0
72hpf,0,0,1.07,0,0,4.28,0,1.07,37.44,3.21,1.07,2.14,0,13.91,0
21Day,1.34,2.68,0,1.34,0,0,0,0,6.69,6.69,0,0,0,4.02,1.34
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0
