stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.49,1.07,1.07,0,0,0,0,0,0,0,0,16.05,1.07,1.07,0,0,0,0,2.14,2.14,0,0,2.14,0,0,0,0,0
21Day,0,0,0,13.39,0,1.34,0,0,1.34,0,0,1.34,1.34,1.34,1.34,4.02,5.35,0,0,0,0,4.02,1.34,0,1.34,4.02,0,8.03,0,0,1.34
3Month,0.32,1.28,0.64,21.44,0,0,0.96,2.24,7.04,14.72,6.08,0.32,6.4,3.2,3.84,8.32,3.84,1.6,0,4.8,10.88,0.32,0,0,2.24,0,2.56,286.99,0.96,135.34,3.84
22Month,0,0,0,8.75,0,0,1.09,0,5.47,13.67,9.29,0,0.55,0,1.09,3.28,4.37,0,0.55,2.73,0.55,0.55,0,0.55,0.55,0,0.55,27.88,0,0,1.64
