stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,4.09,4.09,0,0
72hpf,1.07,0,0,0,0,0,4.28,4.28,1.07,1.07,0
21Day,0,0,0,0,1.34,0,1.34,0,0,0,1.34
3Month,0,0.32,0,0.32,0,0.32,0,0,0,0,0.32
22Month,0,0.55,0.55,0,0,0,0,0,0,0,0
