stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,1.07,0,0,3.21,1.07,1.07,0,0,0,0,16.05,6.42,0,0,3.21,0,0,3.21,1.07,0,0,0
21Day,2.68,0,0,6.69,6.69,0,1.34,0,0,1.34,1.34,1.34,1.34,1.34,2.68,4.02,6.69,0,0,0,0,8.03,2.68,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0,1.28,0.64,10.24,0,0.32,0.32,2.88,4.16,28.48,2.56,0,7.36,1.6,4.16,4.48,3.84,0.32,0,2.24,1.28,0.32,0,0.64,0.32,0,1.6,3.2,0,0,1.28,1.28,5.44
22Month,0.55,4.37,0.55,10.39,0,0,0,1.09,9.29,115.89,1.64,2.19,10.39,0,2.73,12.03,9.84,0,1.09,0.55,0,0.55,0,0,0,1.09,0,1.09,0.55,0,1.09,0,2.19
