stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell
24hpf,4.09,0,0,0,0
72hpf,26.74,0,0,0,1.07
21Day,22.76,1.34,0,0,0
3Month,0,0,0.64,0.32,0
