stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,8.17,32.69,0,0,0,36.78,294.22,4.09,0,4.09,0,0,0,0,0,8.17,0,0,0
72hpf,13.91,1.07,13.91,4.28,7.49,0,0,0,0,0,1.07,0,0,0,5.35,19.26,1.07,37.44,2.14,1.07,0,1194.96,99.49,0,2.14,28.88,0,1.07,11.77,0,0,4.28,0,0,0
21Day,10.71,2.68,36.14,0,12.05,0,5.35,0,1.34,0,0,0,1.34,5.35,0,9.37,4.02,41.49,0,4.02,0,405.58,54.88,1.34,10.71,12.05,17.4,0,9.37,2.68,8.03,0,0,0,2.68
3Month,0,0,5.44,0,0,0.32,0,0.64,1.6,0,6.4,0.96,0.32,2.56,0.32,0.96,0.64,0.64,0,0.64,0.32,3.52,0.32,1.92,0.32,0,0.32,11.2,0,0,0,0.32,0.96,16.32,1.28
22Month,0,1.64,2.73,0,0,0,0,0,1.64,1.09,31.71,0.55,0,2.19,0,0,2.19,2.73,0,0.55,0,1.09,0.55,1.09,1.09,0,0,3.83,0,0,0,0,0,0,1.09
