stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,171.63,0,0,0,0,0,0
72hpf,9.63,1.07,3.21,0,3.21,0,0,0,0,0,1.07,4.28,0,5.35,0,148.7,42.79,1.07,3.21,0,0,17.12,0
21Day,2.68,0,1.34,2.68,1.34,1.34,0,0,0,0,0,2.68,0,4.02,1.34,49.53,18.74,1.34,0,1.34,1.34,4.02,0
3Month,0,0,0,0,0,0,0,0,0.64,0,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0.55,6.56,0,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0
