stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,106.25,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,65.26,5.35,0,10.7,4.28,34.23,2.14,0,1.07,0,0,2.14,0,2.14,48.14,16.05,32.09,0,3.21,0,0,3723.94,2129.95,0,0,50.28,1.07,0,11.77,1.07,0,3.21,0,0,0
21Day,9.37,1.34,1.34,17.4,1.34,16.06,1.34,0,0,2.68,1.34,2.68,2.68,2.68,16.06,4.02,13.39,0,0,0,0,809.81,329.28,0,0,13.39,18.74,0,2.68,1.34,10.71,4.02,0,0,5.35
3Month,0,0.32,0.32,10.88,0.32,0,0.32,0.32,1.6,6.72,2.24,0.32,2.24,0.64,1.6,1.6,1.28,0.64,0,0,0.64,4.16,4.8,0.32,0,0.32,2.24,151.02,0,0,0,0,0.96,52.47,0.64
22Month,0,0,0.55,0.55,0,0,1.09,0,1.09,22.96,0,0,2.73,0,0,0,0.55,0,0,0.55,0,1.64,0,0.55,0.55,0,0,16.95,0,0,0,0,0,0.55,1.09
