stage,Epithelial_cell,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,T_cell
24hpf,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,1.07,8.56,3.21,0,2.14,0
21Day,0,2.68,2.68,4.02,1.34,1.34,0,1.34
