stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,1.07,0,0,0,0,2.14,0,0,23.54,2.14,0,0
21Day,0,1.34,0,0,0,0,1.34,0,1.34,22.76,1.34,0,0
3Month,0.96,0,1.6,0,0,0,0.32,0,0.32,0,0,0.64,0.32
22Month,0.55,0,8.75,0.55,0.55,1.64,0,0.55,0.55,0,0,0.55,0
