stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,4.28,0,0,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,6.42,2.14,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,1.34,4.02,0,1.34,0,0,0,0,0,0,6.69,0,1.34,0,2.68,6.69,0,0,0,12.05,1.34,0,2.68,5.35,0,5.35,0,1.34,0,2.68
3Month,0.32,0,0,4.48,0,0,0,0.32,1.28,0,0,6.72,0.64,0.32,1.28,0.64,1.92,0.96,1.6,0.32,0,0.64,0,0,0,0.32,0,0,0.64,0,0,0.32,0.64
22Month,0,1.09,1.09,3.28,0,1.64,0,1.09,4.37,1.64,0,31.71,1.64,1.64,2.19,0,0.55,2.19,3.28,0,0.55,0,0,0,1.09,0.55,0,0.55,0,0.55,0,0,1.09
