stage,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,4.09,4.09,0,0,32.69,0,0,0
72hpf,0,0,0,0,0,2.14,1.07,12.84,2.14,1.07,0,0
21Day,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0.64,0.32,1.28,0.32,0,0,0,0,0,0,0.64,3.2
