stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,0,0,44.95,0,0,0,0,0,0,0
72hpf,16.05,0,0,6.42,1.07,0,0,0,1.07,0,2.14,3.21,0,132.65,0,2.14,1.07,1.07,23.54,21.4,1.07,12.84,0,0,3.21,0,0
21Day,18.74,0,0,10.71,5.35,5.35,0,1.34,9.37,1.34,0,6.69,2.68,108.42,0,0,4.02,0,12.05,8.03,0,4.02,4.02,1.34,0,4.02,2.68
3Month,0,0,0.32,2.56,0,1.6,0.32,1.6,0,0.96,0,0.64,1.6,0.96,0.64,0,0,0,0,0,0,0,0,1.6,0,0,0.64
22Month,0,0.55,0,1.09,0,3.28,2.73,2.19,0.55,0.55,0,0,0.55,0,0,0,0,0,1.09,0,0,0,0,2.73,0,0,0.55
