stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,2.68,1.34,1.34,0,0,0
3Month,0.32,0,14.08,0,0,2.24,5.76,1.28,0.32,0.32,0.64,2.24,13.44,1.92,0.64,0,0.32,0.64,0,0.32,0.32,0,0,1.28,0.32,0.64,0.96
22Month,0.55,0.55,4.92,0,0.55,1.64,25.69,1.09,1.09,4.37,0.55,0,8.75,1.64,0,1.09,0,0,0,0,0.55,0.55,0,0.55,0,0,0.55
