stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell
24hpf,4.09,0,0,0
72hpf,0,0,3.21,0
21Day,2.68,0,4.02,1.34
22Month,0,1.09,0,0
