stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,8.17,0,0,0,4.09,0,81.73,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,13.91,0,0,0,0,0,0,0,0,4.28,4.28,0,3.21,0,0,0,0,24.61,11.77,0,1.07,0,0,7.49,1.07,0,0,0
21Day,0,0,0,9.37,2.68,0,0,0,0,0,0,0,0,1.34,8.03,0,5.35,0,0,0,0,6.69,4.02,2.68,1.34,0,0,0,1.34,0,0,0
3Month,0.64,1.28,0.96,63.03,2.56,1.92,0.32,0,0,17.6,4.48,0.32,4.48,11.52,2.24,2.24,8.96,0.64,0.32,0.64,2.56,9.6,0.32,2.24,0.32,2.24,14.08,1.28,2.24,0.64,480.24,2.88
22Month,0,2.19,1.09,46.47,0.55,1.09,3.83,1.09,0,38.27,2.19,0,8.75,3.28,1.64,2.73,6.56,0,1.64,0,0,2.73,0,2.73,0,0.55,16.4,0.55,0,0,3.28,0.55
