stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,183.89,16.35,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,13.91,0,0,1.07,0,25.67,2.14,0,0,3.21,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,1.34,0,2.68,17.4,0,0,0,4.02,0,1.34,0,0,0,1.34
3Month,0.32,26.56,0.64,4.8,0.64,0,0.32,0.96,0.64,0.32,6.4,1.6,0.32,1.92,0.64,1.28,1.92,1.92,0,4.8,0.32,0,0,0,0,0.64,16,0,38.07,42.55,0.96
22Month,0,16.4,0,6.56,0,0,1.09,0.55,1.64,0.55,20.23,0.55,0,1.64,0,1.09,1.64,2.73,0.55,0.55,0,0,0.55,0.55,0,0,16.95,0.55,79.26,0,0
