stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,40.86,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,0,1.07,5.35,2.14,0,0,0,0
21Day,0,17.4,0,1.34,4.02,0,0,0,0,2.68,1.34,0,2.68,2.68,2.68,1.34,0,1.34
3Month,0,0.64,0,0,0,0.32,0,0.32,0.64,0,0,0,0,0,0,0.32,0.32,0.64
