stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,6.42,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.64,0.32,2.24,0.32,1.28,0,0,0,0,0,0.32,0,0,0.32
22Month,0.55,0,3.83,0,1.64,0,1.64,0.55,0,0,0,0,0,0
