stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte
72hpf,1.07,0,0,0,0
21Day,0,1.34,0,0,1.34
22Month,0,0,0.55,0.55,0
