stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,57.21,0,0,0,0,0,0,0,0,0,8.17,171.63,0,4.09,0,0,0,0,69.47,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,21.4,2.14,0,0,0,0,0,0,0,0,8.56,197.91,0,3.21,0,0,0,8.56,4.28,0,4.28,0,0,1.07,0,0,0,0
21Day,2.68,0,107.08,0,1.34,0,0,0,1.34,0,1.34,0,2.68,82.99,0,1.34,1.34,1.34,0,4.02,1.34,0,5.35,2.68,1.34,1.34,1.34,0,0,1.34
3Month,0,0,15.36,0,0,0,0.32,0.64,6.4,0.96,0,2.88,0,1.28,1.28,0.64,0,0.32,0.32,0,0,0,0,0,17.6,0,0,0.64,1.28,0
22Month,0,0.55,0.55,0.55,0,0.55,0.55,1.09,24.6,0.55,0,5.47,0,0,1.64,2.19,0.55,0,0,0,0,1.09,0.55,0,1.09,0,0,0,0,1.09
