stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,12.26,0,0,0,0,0,0,12.26,179.8,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,1.07,2.14,0,0,0,0,0,0,1.07,49.21,0,2.14,0,54.56,8.56,0,1.07,2.14,0,1.07,69.54,90.93
21Day,6.69,2.68,2.68,2.68,2.68,0,0,2.68,2.68,0,4.02,1.34,8.03,1.34,12.05,5.35,1.34,0,2.68,1.34,0,77.63,378.8
22Month,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
