stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,14.98,0,0,0,0,0,2.14,0,0,0,1.07,26.74,0,41.72,0,1.07,12.84,31.02,4.28,0,0,12.84,0,0,0,2.14,1.07,0,0,0,0
21Day,5.35,0,0,8.03,0,1.34,0,0,0,0,0,1.34,0,0,10.71,2.68,137.87,0,0,34.8,34.8,0,0,0,4.02,0,2.68,0,21.42,0,0,0,0,1.34
3Month,0,0.96,0,9.6,0.32,0,0.64,0.64,0.64,7.04,1.92,0.32,2.56,0.96,11.2,3.2,228.44,1.6,0,5.12,0.64,0.96,0.96,0,0,0.64,14.08,0.64,0.32,0,1.28,0.32,4.8,0.64
22Month,0,0.55,0.55,3.28,0,0,0,0.55,4.37,16.4,0.55,1.09,4.37,0,2.19,1.09,36.08,2.73,1.09,2.19,2.19,1.09,0.55,0.55,0.55,0.55,17.49,1.09,137.21,0,1.64,0,0,0
