stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,4.09,0,4.09,0,0
72hpf,1.07,2.14,0,0,1.07,2.14,0,0
21Day,0,0,1.34,2.68,0,1.34,0,1.34
22Month,0,0,0,1.09,0,0,0.55,0
