stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,5.35,0,7.49,0,0,0,0,7.49,11.77,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,8.03,0,1.34,0,0,0,0,1.34,0,2.68,1.34,1.34,0,2.68,136.53,0,0,0,0,5.35,6.69,0,0,4.02,2.68,0,0,0,1.34,0,0,0
3Month,0.32,1.28,0,17.28,2.56,0,0.64,0.96,2.56,0,20.48,9.28,0.32,8.32,1.92,4.8,3.84,363.46,0.64,0,3.2,1.6,0.64,0,0.96,0,4.8,0.96,4.16,0,0,0,0.64,0.96,3.2
22Month,0,2.73,1.64,23.51,0,0,7.11,1.09,13.67,1.64,64.51,2.73,2.73,8.2,1.09,2.73,8.2,1151.8,0,3.83,1.09,0,1.64,0,1.64,3.83,0.55,1.64,1.64,8.75,6.56,0,0,0,8.75
