stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,159.37,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,72.75,1.07,0,0,0,0,3.21,0,0,0,0,4.28,3.21,0,1.07,0,0,0,1.07,0,0
21Day,53.54,0,0,0,0,0,1.34,0,1.34,0,0,4.02,0,1.34,0,0,0,1.34,0,0,0
3Month,1.6,1.28,0.64,2.24,0.96,0.32,0.64,0.64,1.28,0,0.32,0.32,0,0.96,0,0.64,9.6,0,0,4.48,0.32
22Month,0.55,1.09,0,1.64,0,0,0,0,0,0.55,0,0,0,0,0,0,1.64,0,0,0,0
