stage,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Smooth_muscle_cell
21Day,1.34,0,1.34,0,0,0
3Month,1.92,0,0,0.32,11.84,0.32
22Month,0,0.55,0,0,0,0
