stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,3.2,10.56,0,1.6,0.96,2.24,0.32,0,47.03,0.32,0.32,0,0,0.32,0.32,0.64,0,0
22Month,12.57,7.65,0.55,3.83,0.55,12.03,0.55,0.55,104.41,0,1.09,1.09,1.64,0,0,0,0,0.55
