stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34
3Month,0.64,0.32,22.4,2.88,0,0.32,0.32,6.08,0,17.28,7.68,30.72,9.6,1.28,7.68,35.83,6.4,0.32,0,0.96,0.64,1.92,1.6,1.6,0.32,2.56,9.92,0.32,0,3.52,5.12,313.87
22Month,2.73,0.55,7.65,0.55,0,0,0.55,3.83,0.55,29.52,0.55,6.56,2.73,0.55,0.55,9.84,5.47,0,2.19,0.55,0,0.55,0,1.09,0,1.09,4.92,0,0.55,0,0,205.54
