stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,14.98,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,4.02,0,2.68,0,0,0,0
3Month,0.32,0.96,0.64,0,2.56,0.96,0.64,0.64,0,0,0.96,0,22.08,0.32,0.96,0.64,0
22Month,0.55,0,1.09,1.09,9.84,0,1.64,0.55,1.64,0.55,0,0,24.05,0.55,8.75,0,0.55
