stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,4.02,1.34,0,0,1.34,0,0,1.34,0,0,1.34,1.34,0,1.34,0,0
3Month,0.32,0.64,0.96,0,0,2.56,0,1.6,0.32,0.32,0.32,0.32,0.32,0,0.32,0.32,0.32,0.32
22Month,0,0,0,0,0.55,3.83,0,0.55,0,0,0,0,0,0,0,0,0,0
