stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,3.21,0,0,4.28,0,0,4.28,0,0,0
21Day,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,2.68,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,39.67,0.32,6.08,0,0.32,0.96,1.6,0,7.68,0.96,1.92,0.32,5.76,1.28,9.92,3.84,1.28,0,0,0.64,0.32,0.64,0.32,1.28,0,4.16,1.6,0
22Month,53.03,0.55,11.48,1.64,1.09,0.55,4.37,14.76,10.93,2.19,2.73,0,13.12,3.28,44.83,1.64,5.47,0,0,0.55,0,0,0,1.64,0.55,2.19,0,1.64
