stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,4.28,1.07,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,0.32,5.76,6.08,16.96,0,1.92,0.64,10.56,2.56,1.28,2.24,0.32,21.76,0.64,0.32,0,0,13.12,0.32,0.64,2.24,1.28
22Month,0,0.55,0.55,1.09,3.28,0.55,4.92,0,2.73,0,1.09,0,0,6.01,0,0,0,0.55,0,0,0.55,0,0
