stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,6.42,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,42.83,2.68,0,9.37,0,0,0,2.68,1.34,9.37,9.37,4.02,14.72,12.05,16.06,0,0,1.34,0,6.69,4.02,0,0,0,1.34,4.02,0,0,1.34,0,0,0,2.68
3Month,0.32,3.2,2.56,66.23,0,0.96,1.92,11.84,17.92,0,41.27,31.99,4.16,30.4,3.2,21.12,22.72,7.68,2.56,0,7.68,4.48,0.64,0.32,2.88,0,0,0,0.96,0.32,12.48,0,0,6.4,0.32,13.44
22Month,0.55,9.29,3.83,24.05,0,0.55,4.92,7.65,39.36,4.37,100.04,12.57,6.01,38.27,2.73,6.56,28.97,18.59,1.64,2.19,5.47,0,1.09,0,4.92,0.55,0.55,2.19,0,0,11.48,2.19,0.55,2.73,0,16.4
