stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,2.14,2.14,3.21,0,0
21Day,2.68,1.34,0,0,0,0,4.02,0,0,0,0
3Month,0.32,0,0.32,0,0.32,0.32,0.32,0.32,0,0.32,0.32
22Month,0.55,0,0,0.55,0,1.09,0,0.55,0,0,0.55
