stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,83.44,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,5.35,0,0,0,0,0,1.07,0,0,0
21Day,91.02,0,4.02,4.02,0,0,1.34,1.34,0,0,0,0,0,0,6.69,0,0,1.34,0,6.69,4.02,0,2.68,5.35,5.35,1.34,0,0,0,1.34
3Month,2.56,0,5.44,0,0.64,1.6,0.32,7.36,1.28,0,2.88,0.32,0.64,0.96,1.92,0.64,0,0.96,0.32,0,0,0,0.32,1.28,80.31,0,0,0.32,60.79,0.96
22Month,2.73,1.09,2.73,0,0.55,3.28,0.55,31.16,1.64,0.55,4.92,0,0.55,3.28,1.09,0,0.55,0,0,0.55,0,1.09,0,0,49.2,0,0,0,0.55,0.55
