stage,Cardiomyocyte,Epithelial_cell__Brain_,Granulocyte,Intestinal_bulb_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
72hpf,0,1.07,0,0,2.14,0,0,0
21Day,1.34,0,0,0,0,2.68,0,1.34
3Month,0,0,0,0.32,0,0.96,0.64,0
22Month,0,0,0.55,0,0,0,0,0
