stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,44.93,6.42,0,0,0,1.07,0,0,0
21Day,1.34,0,0,1.34,0,1.34,0,0,0,2.68,0,0,0,1.34,0,1.34,6.69,1.34,0,0,0,0,0,0,4.02
3Month,0,0.64,1.28,0.32,0,3.2,0,1.28,2.24,0.32,1.6,0,0.32,2.88,0,0.32,0,0,0.32,0.32,0.64,0,0,0.32,8.64
22Month,0,0,2.73,1.09,0.55,7.65,1.09,9.84,2.19,1.09,0.55,0.55,0,4.92,1.64,0.55,0,0,0.55,0,0,0,0.55,0,8.75
