stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,0,0,1.34,0,1.34,0,0
3Month,1.6,0,0.32,0.32,2.24,0.32,0.32,0.64,0.64,0.64,0,0,0,0.32,0.64,0,0,0.32,0,0.64,0.32
22Month,0,0,0,0,3.83,0,0,0.55,0,0,0,0,0,0,0,0.55,0,1.64,0,0,0
