stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,12.26,0,0,20.43,1042.03,0,0,0,0,0,8.17,0,0,20.43,0,0,0
72hpf,111.26,21.4,0,71.68,16.05,109.12,0,1.07,0,0,3.21,1.07,0,0,0,0,18.19,193.63,27.81,83.44,9.63,2.14,3185.84,9322.16,0,226.8,146.56,1.07,1.07,4587.26,18.19,9.63,95.21,0,0,0
21Day,28.11,1.34,2.68,64.25,0,60.23,0,9.37,0,0,0,0,2.68,1.34,16.06,6.69,1.34,30.79,9.37,61.57,0,5.35,721.47,1840.48,2.68,40.16,18.74,53.54,0,835.24,10.71,24.09,36.14,2.68,0,6.69
3Month,0,0.32,0,6.72,0,0,0.32,0,0.32,0.96,1.92,0,4.16,2.56,0.64,1.6,0,1.28,1.28,1.92,0,0.64,8.64,17.92,0,14.72,0,0.32,2.88,128.3,0.32,0,0.64,0,2.88,0.96
22Month,0,1.09,0,3.28,0,0,0,0,0,0,2.19,0,26.24,1.64,0,2.19,0,1.09,4.92,1.64,1.09,1.64,4.92,16.4,0.55,25.15,0,0,2.19,225.22,15.31,0,0.55,0,0,0
