stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0,0
72hpf,0,0,4.28,2.14,1.07,1.07,0
21Day,1.34,5.35,1.34,0,2.68,2.68,0
3Month,0,0,0,0,0.32,0,0.32
