stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,1050.21,0,0,0,0,0,0,28.6,4.09,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,4.28,0,0,0,0,0,0,0,0,94.14,3.21,0,0,0,0,0,26.74,8.56,3.21,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,0,78.97,0,0,1.34,0,0,0,1.34,2.68,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0.96,0.96,98.54,0,0.64,0.32,3.52,8.32,20.48,6.4,0.96,10.88,952.81,8.32,3.52,7.68,1.92,0,3.52,20.16,0.96,0,0.64,0.32,1.28,0.32,7.36,0.64,3.2,3.2,5.76
22Month,0.55,0,18.04,0,0,0,0.55,3.83,19.13,0,1.09,8.75,106.6,0,2.73,4.37,0,0.55,0.55,0.55,0,0,0,0,1.64,0,1.64,0.55,0,0,0.55
