stage,Enterocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,8.17,0
72hpf,0,0,0,1.07,0,1.07,0
3Month,0,0,0,0,0,0,0.64
22Month,0.55,0.55,3.28,0,0.55,0,0
