stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,57.21,16.35,245.18,8.17,4.09,0,0,0,0,24.52,0,0,0,16.35,24.52,57.21,290.13,0,0,4.09,138.94,3256.86,12.26,0,73.56,0,0,0,0,0,16.35,0,0
72hpf,5.35,1.07,7.49,2.14,2.14,0,0,0,0,0,0,1.07,0,1.07,1.07,0,13.91,0,0,0,71.68,78.09,0,0,3.21,0,0,6.42,1.07,0,1.07,0,0
21Day,4.02,2.68,8.03,0,20.08,0,12.05,2.68,0,0,0,0,0,1.34,0,0,9.37,0,1.34,0,22.76,32.12,0,0,4.02,0,0,1.34,2.68,2.68,1.34,0,1.34
3Month,0,0,3.84,0,0,0.32,0,0.32,0,0,8,0.64,0.64,0,0.96,2.56,1.28,0.32,3.52,0,0,0,0.64,0,0,0.32,18.24,0,0,0,0,3.2,0.64
22Month,0,0,1.09,0,0,0,0,1.64,1.64,0,10.93,0.55,3.28,0,0,3.83,0.55,0,0.55,0,0,0,0,1.64,0,0,6.01,0,1.09,0,0,0,0
