stage,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell
24hpf,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,1.07
21Day,0,0,0,0,4.02,0
22Month,1.09,0,3.28,0.55,0.55,0
