stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,4.09,0,0,0,0,0,0,0,24.52,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,63.12,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,2.14,0,1.07,0,0,0,0,0,0
21Day,30.79,1.34,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,27.84,2.56,0,0.64,0,1.92,0.64,0.96,0,0.64,1.28,0.32,0.64,0,0,0,0,0.32,8.96,0.32,1.28,1.28,0.32
22Month,27.33,0.55,0,0,0.55,8.2,0.55,0.55,0.55,0,0,1.09,0,0,0,1.64,0,0,1.64,0,1.09,0,0
