stage,Immune_cell,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,4.09,0,0
21Day,0,1.34,0,1.34,0
3Month,0.32,0,0,0,0.64
