stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.64,0.96,0,1.6,0,0,6.08,0.64,0.32,1.28,0.64,0.64,1.6,2.24,0,0.96,0.32,0,0,0.96,1.28,0.96,0,0.96,0.64,0.32,0.64
22Month,0,1.64,0.55,3.83,1.09,1.09,37.17,1.09,0.55,3.28,0,0,3.28,1.64,1.64,0,0,1.09,1.09,0.55,0.55,0,1.09,0,1.64,0,1.64
