stage,Cardiomyocyte,Endothelial_cell,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,1.07,0,0,0,14.98,9.63,0,0,0,0,0
21Day,0,0,0,0,2.68,1.34,1.34,0,0,1.34,0,1.34
3Month,0.32,0,0,0.64,0,0,0,0,0.32,0,0.32,0
22Month,0,0,1.09,1.64,0,0,0,0.55,0,0,0,0
