stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,4.28,3.21,0,0,0,0,0,0,0,1.07,0,6.42,2.14,0,0,0,1.07,0,0
21Day,0,4.02,4.02,0,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0
3Month,0.32,4.48,0.96,0.32,0.64,0.64,4.48,0.64,0.64,2.88,2.56,1.6,2.24,0,0.96,0.64,0.32,12.48,27.2,0.32
22Month,0,1.09,0,0,0,0.55,8.2,0,2.19,0.55,0,1.64,0,0,0,0.55,0,4.92,0,0
