stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,4.09,53.12,0,12.26,0,0,0,36.78,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,1.07,21.4,0,2.14,0,0,9.63,9.63,0,1.07,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.64,0.32,4.16,0,0.32,1.28,5.12,1.92,2.24,0.96,1.92,0.64,2.24,0.32,0.96,0.32,0,0.64,0,2.24,188.13,0.32,0.32,75.51,1.6
22Month,0.55,0,0,0,0,0,0,3.28,0,0.55,0,0,0,0.55,0,0,0,0,0,0,1.09,29.52,0,0,0.55,0.55
