stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,20.43,0,8.17,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,0,0,0,4.02,0,4.02,1.34,1.34,0,0,0,2.68,0,0,0,0
3Month,0.64,5.12,0,0.32,0.32,6.08,0,0.96,0.64,1.28,1.28,0,4.48,0.32,0,0.32,1.28,0,0,0.96,16,0.32,1.28,11.52,0.32
22Month,0.55,0.55,0,0,0.55,4.37,0.55,2.19,0,0,0.55,0.55,5.47,0,0,0,0,0.55,0,0,14.21,0,0,0,0.55
