stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0
3Month,0.32,2.56,0.32,3.84,0.64,0.64,0.32,0.32,0.64,0,0.32,0,0.32,21.76,0,50.55
22Month,0,0,0,7.65,0,1.09,0,0,0,0.55,0,0,0,14.76,0.55,0.55
