stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,0,4.09
72hpf,0,0,0,0,1.07,38.51,1.07
21Day,13.39,1.34,0,0,0,12.05,0
3Month,0,0,1.28,0.32,0,0,0
