stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,T_cell
24hpf,49.04,0,0,0,0,0,8.17,8.17,0,0,0
72hpf,19.26,1.07,3.21,0,1.07,0,32.09,2.14,0,1.07,0
21Day,10.71,0,0,0,0,2.68,14.72,2.68,0,0,0
3Month,0.32,0.32,0,0.32,0,0,0.64,0,0,0,0.32
22Month,0,0,0,2.73,0,0,0,0,0.55,0,0
