stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,3.21,2.14,1.07,0,0,0,0,0,0,3.21,0,1.07,0,41.72,3.21,0,1.07,2.14,0,0,1.07,0
21Day,1.34,0,1.34,2.68,0,0,0,0,0,1.34,0,1.34,0,8.03,6.69,1.34,1.34,0,1.34,0,1.34,1.34
3Month,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,0,4.37,1.09,0,0,0.55,0,0.55,0,0,1.09,0,0,0,1.64,0,0
