stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,0,0,36.78,4.09,0,0,0,0,8.17,0,0,0,1250.44,0,20.43,24.52,36.78,0,0,0,0,85.81,457.68,0,12.26,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,0,9.63,0,7.49,0,0,0,0,9.63,0,0,149.77,0,7.49,1.07,11.77,0,2.14,0,0,101.63,34.23,0,11.77,0,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,4.02,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0,0
3Month,0,0.96,0.32,5.12,0,0,0,1.28,2.24,0,270.04,1.92,0.32,31.67,1.28,0.32,0.32,2.88,1.6,0.64,3.52,2.88,0,0,0.32,0,3.52,1.6,0,0,0.64,0.32,0.96
22Month,0.55,0.55,1.09,2.73,0,0,2.73,1.64,1.09,0,517.68,0.55,0,51.93,0,0.55,1.64,2.19,0.55,12.03,1.09,0.55,0.55,0.55,0,0,2.19,0.55,0.55,0,0,0,0
