stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,7.49,3.21,1.07,2.14,2.14,0,3.21,0,1.07,0,26.74,12.84,171.17,2.14,0,16.05,0,0,0
21Day,0,0,2.68,0,1.34,1.34,2.68,0,1.34,1.34,14.72,4.02,62.91,0,1.34,1.34,1.34,1.34,1.34
3Month,0,0,0,0,0,0,0.32,0.64,0,0,0,0,1.6,0,0,0,0,0,0
